video_id,track_id,event_frame,timestamp_sec,timestamp_mmss,half,ball_displacement_px,head_displacement_px,trajectory_change_deg,header_confidence,attribution_confidence,attribution_confidence_label,ambiguous
Header_h47,8404,161,2.683,00:03,first,919.953011680488,4.39892032207899,168.9,0.8249,0.8649,high,False
Header_h47,8502,260,4.333,00:04,first,8.761563787361212,9.29000000000002,0.0,0.6707,0.9236,high,False
Header_h47,8572,321,5.35,00:05,first,4.021405227031946,6.69639455229448,165.9,0.8329,0.9577,high,False
Header_h49,8896,116,1.933,00:02,first,14.69984013518517,6.1345741498492945,12.16,0.7729,0.9108,high,False
Header_h49,8945,218,3.633,00:04,first,5.62498888887789,17.923057774832984,0.05,0.7724,0.9096,high,False
Header_h49,8990,355,5.917,00:06,first,3.8668074687007983,16.71788563186157,0.0,0.5545,0.9602,high,False
Header_h49,9092,264,4.4,00:04,first,17.319448605541794,6.069011451628631,84.65,0.6554,0.9639,high,False
Header_h60,11766,59,0.983,00:01,first,4.750789408087839,1.0904127658826117,0.0,0.6416,0.9755,high,False
Header_h60,11766,67,1.117,00:01,first,4.7507894080879876,7.765796803934535,0.09,0.6633,0.9722,high,False
Header_h67,13122,15,0.25,00:00,first,55.867049322476184,56.267931364144026,15.34,0.6685,0.882,high,False
Header_h67,13258,137,2.283,00:02,first,8.96172416446746,9.806171526136005,132.82,0.9442,0.9333,high,False
Header_h72,14279,111,1.85,00:02,first,6.542323746192974,3.4698847243100053,3.25,0.5984,0.8966,high,False
Header_h72,14279,117,1.95,00:02,first,6.613750826875762,1.0151847122568811,70.67,0.8172,0.7813,high,False
Header_h72,14305,190,3.167,00:03,first,6.416135908785106,32.3088610136601,0.0,0.7737,0.9849,high,False
Header_h73,14418,19,0.317,00:00,first,17.825602374113487,51.05626797955372,0.03,0.735,0.9086,high,False
Header_h73,14419,10,0.167,00:00,first,302.2192106733124,4.829792956224856,,0.6867,0.9014,high,False
Header_h73,14486,112,1.867,00:02,first,21.654018102883306,4.743437572056623,0.0,0.6819,0.7899,high,False
Header_h74,14576,38,0.633,00:01,first,25.964277382588683,13.290526701376358,0.02,0.7713,0.9456,high,False
Header_h74,14646,125,2.083,00:02,first,22.01264409379304,5.185180806876375,0.0,0.7651,0.9086,high,False
